Tweet ,Date/Time,UserID
Pray for BXL. #ikwilhelpen,3/26/16 19:30,GDequecker48
@broderick This is the reason why we're doing it for https://t.co/YhgIaoJGMX #ikwilhelpen #buzzfeednews #jeveuxaider https://t.co/0oju7I0W7U,3/26/16 10:00,sauws
#PrayForBrussels #ikwilhelpen On our way to Antwerp to show support and love! https://t.co/MRNuijDgfv,3/25/16 16:26,CobyGoyvaerts
Belgian police arrest six suspects https://t.co/uZI3cABxcf #brussels #belgium #ikwilhelpen #jesuisbruxelles,3/25/16 1:08,Equashion
From Facebook Filters To #Ikwilhelpen; Social Media Shows Solidarity For Brussels by @MollyBMcPherson on @LinkedIn https://t.co/Tcjgk69Iub,3/24/16 22:28,AndrewCiccone
#ikwilhelpen #prayforbrussels All the kids made a drawing to show their support and love!! https://t.co/T26DhESXtE,3/24/16 22:24,CobyGoyvaerts
My plane leaves tomorrow morning at 9 #liege but there is no train or shuttle bus from #Brussels. Does anyone has a solution #ikwilhelpen ?,3/24/16 18:06,leovandoesburg
[New Post] From Facebook Filters To #Ikwilhelpen; Social Media Solidarity For #Brussels. https://t.co/cwBmciSvF0 https://t.co/CSPRR9No2B,3/24/16 16:10,MollyBMcPherson
When the worst happens - that's when the true human spirit shines through....#ikwilhelpen #Love #tousensemble #hope https://t.co/YdaGRQAxGs,3/24/16 16:04,Petra_Van_Hamme
Belgians open their homes offer rides with #Ikwilhelpen,1/1/00 0:00,NA
Picking up a stuck traveller in the Netherlands because of the Attack on Brussels #ikwilhelpen #brusselsattacks https://t.co/76aLEp0BtZ,3/24/16 12:15,rex_the_dragon
Show the finger to hate! Sign up to be matched with a Belg/newcomer for dinner https://t.co/4xXQtdJKSY #ikwilhelpen https://t.co/FkS6wNQ3Uf,3/24/16 8:10,DineWithUs_be
And then the fog... #ikwilhelpen #instamood #berlin #laomusicarts #smile #amazing #friendsäó_ https://t.co/BkBXqgdMgQ,3/24/16 5:52,LAOMUSIC_ARTS
All my thoughts to Belgium. #ikWilHelpen #BrusselsAttacks #Zaventem https://t.co/kIneXjOkOf,3/24/16 5:23,JuanSerranoFoto
2016/03/24ÜóêNo. 529Üóï1) Brussels attack: Belgians use #ikwilhelpen hashtag to offer transport and accommodation ... https://t.co/JylFOyqfhg,3/24/16 5:22,reader_watch
ÜóêBrussels attack: Belgians use #ikwilhelpen hashtag to offer transport and accommodation to strandedÜóïUsing the h ... https://t.co/WDpfOFvQSw,3/24/16 5:19,reader_watch
Belgians are opening their doors to people affected by the terror attacks with #IkWilHelpen https://t.co/DaBjpEPA5K,3/24/16 2:11,qaumiawaaz
If still needed I've got a couch and a spare mattress in #Leuven for anyone needing a place to crash. #ikwilhelpen #BrusselsOpendoors,3/24/16 0:22,hereticmantis
Anyone in need of help food or shelter near @Antwerp Airport or in Antwerp please let me know what I can do #ikwillhelpen,1/1/00 0:00,NA
@BBCNews: #Tributes for the #BrusselsAttack victims - https://t.co/UnbLBvBhBB #BelgiumAttack #ikwilhelpen #PorteOuverte #BBCShorts,3/23/16 22:15,UHSsuukyi
